Order1,Order2,Count,Norm,Norm_with_weight,H1,S1,Lt1,H2,S2,Lt2
5,20,1,87.43640422080239,87.40358710569738,359.0,85.71428571428572,59.185,266.4,13.812154696132591,59.048
7,24,1,59.24133961259607,30.585805546710986,348.38709677419354,65.95744680851064,73.505,332.7272727272727,7.006369426751603,67.755
26,20,2,7.652001325089436,0.05947638042067862,300.0,11.864406779660994,74.632,266.4,13.812154696132591,59.048
16,11,2,1.0631655131143696,0.036873859384525455,319.99999999999994,6.024096385542164,49.408,309.99999999999994,6.122448979591837,36.444
27,16,2,23.15616428171062,1.548355762562169e-05,45.51724137931034,22.834645669291344,76.071,319.99999999999994,6.024096385542164,49.408
11,16,2,1.0631655131143696,0.036873859384525455,309.99999999999994,6.122448979591837,36.444,319.99999999999994,6.024096385542164,49.408
2,20,2,40.79514653862284,6.081886461763618,342.27272727272725,41.9047619047619,49.293,266.4,13.812154696132591,59.048
16,20,2,11.327560468250583,1.7661776809431504,319.99999999999994,6.024096385542164,49.408,266.4,13.812154696132591,59.048
5,3,2,38.541519980561844,30.700960920634486,359.0,85.71428571428572,59.185,346.8965517241379,49.71428571428571,55.813
20,11,2,10.285035372401717,0.00037519322493242724,266.4,13.812154696132591,59.048,309.99999999999994,6.122448979591837,36.444
24,24,3,0.0,0.0,332.7272727272727,7.006369426751603,67.755,332.7272727272727,7.006369426751603,67.755
26,24,3,7.070542903735756,2.746228168017561,300.0,11.864406779660994,74.632,332.7272727272727,7.006369426751603,67.755
20,20,3,0.0,0.0,266.4,13.812154696132591,59.048,266.4,13.812154696132591,59.048
1,5,3,54.82484564116073,0.06578756453461976,335.60439560439556,35.68627450980392,40.847,359.0,85.71428571428572,59.185
20,7,3,65.47653521915649,1.0017639872135315,266.4,13.812154696132591,59.048,348.38709677419354,65.95744680851064,73.505
5,24,3,79.49221475432842,18.294735825399318,359.0,85.71428571428572,59.185,332.7272727272727,7.006369426751603,67.755
7,26,3,58.7518494643102,57.27777175542483,348.38709677419354,65.95744680851064,73.505,300.0,11.864406779660994,74.632
3,16,3,44.42551154952478,19.5604896691187,346.8965517241379,49.71428571428571,55.813,319.99999999999994,6.024096385542164,49.408
24,20,3,12.733961100669271,2.795146271830998,332.7272727272727,7.006369426751603,67.755,266.4,13.812154696132591,59.048
11,7,3,61.27652321736378,7.199426484889396e-11,309.99999999999994,6.122448979591837,36.444,348.38709677419354,65.95744680851064,73.505
5,1,3,54.82484564116073,0.06578756453461976,359.0,85.71428571428572,59.185,335.60439560439556,35.68627450980392,40.847
20,16,3,11.327560468250583,1.7661776809431504,266.4,13.812154696132591,59.048,319.99999999999994,6.024096385542164,49.408
24,30,3,57.404457888265284,0.08880267720770695,332.7272727272727,7.006369426751603,67.755,42.127659574468076,59.493670886075954,85.744
11,5,3,81.82816191787995,0.002636282477166272,309.99999999999994,6.122448979591837,36.444,359.0,85.71428571428572,59.185
