Order1,Order2,Count,Norm,Norm_with_weight
5,20,1,87.43609077021027,24.00825465810316
7,24,1,59.241251847214684,2.800186272792994
26,20,2,7.651902742687585,0.36168636469872983
16,11,2,1.0630858693642713,0.04127391305717198
27,16,2,23.156463893315433,0.00024778039191113
11,16,2,1.0630858693642713,0.04127391305717198
2,20,2,40.79542333440712,21.36935704216703
16,20,2,11.327439144793106,0.32345894082969107
5,3,2,38.5413162917211,15.024999337284653
20,11,2,10.285063691142895,1.2729453145015273e-05
24,24,3,0.0,0.0
26,24,3,7.0703245911569095,2.1954218391536284
20,20,3,0.0,0.0
1,5,3,54.82493780662722,0.002101712353484577
20,7,3,65.47606408630996,0.1942702636223657
5,24,3,79.49226980664238,63.655262595396614
7,26,3,58.75161208503415,37.72752266980127
3,16,3,44.42533335534151,0.6590261115934086
24,20,3,12.733751981615631,8.177016757645838
11,7,3,61.27640430779042,4.20565632033791e-15
5,1,3,54.82493780662722,0.002101712353484577
20,16,3,11.327439144793106,0.32345894082969107
24,30,3,57.40494720228649,0.5336589939070179
11,5,3,81.82815161317183,6.341584720300556e-09
7,16,3,60.72492079575372,5.753226578624299e-07
7,20,3,65.47606408630996,0.1942702636223657
24,11,4,2.727977377826896,1.5998609053552173e-08
20,24,4,12.733751981615631,8.177016757645838
3,24,4,42.95541905931723,33.479885036446454
2,16,4,36.40213471363221,11.299848729988323
7,11,4,61.27640430779042,4.20565632033791e-15
5,2,4,47.15073874276026,1.0896288970880084
20,3,4,49.35101235145565,48.00469215581
20,5,4,87.43609077021027,24.00825465810316
16,3,4,44.42533335534151,0.6590261115934086
16,1,5,29.92791981450645,29.111471256714193
24,27,5,21.81403170422977,10.919988736875736
27,20,5,34.48360411850162,3.663317245416097
24,26,5,7.0703245911569095,2.1954218391536284
7,12,5,57.37984916563065,1.0806216352832752e-14
12,5,5,75.38113081688498,1.2961015006024354e-08
11,24,6,2.727977377826896,1.5998609053552173e-08
11,11,6,0.0,0.0
11,20,6,10.285063691142895,1.2729453145015273e-05
20,27,6,34.48360411850162,3.663317245416097
11,30,6,60.033853551630834,2.167057788834769e-17
20,29,6,38.139514957015514,5.7928121679850466e-05
30,16,6,58.97163363891206,1.3160386035301773e-08
24,5,6,79.49226980664238,63.655262595396614
26,3,6,42.49931796981656,3.4937702292599653
16,24,6,1.7430333068566237,0.002597501844930637
2,11,6,36.873943956998744,0.009004923423154922
5,26,6,80.25053664330355,55.30932550558476
16,7,6,60.72492079575372,5.753226578624299e-07
27,7,6,56.893821800116385,24.62371333343696
20,1,6,33.380613556564604,0.49518358768015786
5,7,6,24.161108297928056,4.747111108176693
1,24,6,28.690985476522147,0.017800830927253628
26,16,7,6.536496334261006,1.2139595569215002e-05
24,16,7,1.7430333068566237,0.002597501844930637
16,2,7,36.40213471363221,11.299848729988323
16,16,7,0.0,0.0
21,20,7,23.7505100073826,10.805891603647915
25,2,7,38.23863263452812,14.11924909031852
17,7,7,58.5159455508644,2.1112672541215677e-07
24,21,7,11.28400281021095,1.0118079925512864
11,27,7,24.203230428224487,5.081184257403519e-11
11,25,7,23.42460715885315,6.673534274181039e-06
2,26,7,34.0739915850767,0.05081437272092361
5,11,7,81.82815161317183,6.341584720300556e-09
24,7,7,59.241251847214684,2.800186272792994
3,20,7,49.35101235145565,48.00469215581
30,7,7,56.99311837923454,47.939553266046886
1,16,7,29.92791981450645,29.111471256714193
16,21,8,12.963301698007594,4.78522381988655
20,17,8,26.34592391207203,0.48917014403065695
12,16,8,12.055692593178895,0.6276141217105846
17,11,8,16.066265269186534,0.9188901726982354
25,24,8,21.094425232990336,16.889593762994746
20,30,8,70.05056862382665,0.023499347836614132
29,11,8,31.114315466386035,1.1003514662378517e-22
12,20,8,23.380781158717486,5.312368770192032e-05
24,2,8,35.01529545385382,4.038654932327337
16,17,8,15.038286824103897,14.85455101659843
11,3,8,44.96859926072866,1.5875459828861904e-05
26,5,8,80.25053664330355,55.30932550558476
20,2,8,40.79542333440712,21.36935704216703
3,17,8,43.09098845517927,0.4005907968944886
20,12,8,23.380781158717486,5.312368770192032e-05
27,5,8,71.93445259083455,63.16859756414821
2,17,8,36.81037496257556,8.88005058743809
27,3,8,42.552030448897916,7.235595703238314
1,20,8,33.380613556564604,0.49518358768015786
7,27,8,56.893821800116385,24.62371333343696
2,5,8,47.15073874276026,1.0896288970880084
25,20,8,33.70961559764804,32.46411891205978
20,25,8,33.70961559764804,32.46411891205978
25,16,9,22.38633417900569,0.29615330731814776
11,26,9,5.93105661571479,8.78843020896307e-13
26,11,9,5.93105661571479,8.78843020896307e-13
20,21,9,23.7505100073826,10.805891603647915
16,27,9,23.156463893315433,0.00024778039191113
30,26,9,63.062493145943385,19.58167166147402
17,24,9,13.819932214122225,0.011553722418935092
24,6,9,79.27766185775344,15.581887427783405
24,3,9,42.95541905931723,33.479885036446454
11,2,9,36.873943956998744,0.009004923423154922
9,5,9,82.99827932851252,2.6744028252502755e-12
