Order1,Order2,Count,Norm,Norm_with_weight,H1,S1,L1,H2,S2,L2
26,16,7,6.536496334261006,1.2139595569215002e-05,300.0,11.864,76.863,320.0,6.024,51.176
24,16,7,1.7430333068566237,0.002597501844930637,332.727,7.006,69.216,320.0,6.024,51.176
16,2,7,36.40213471363221,11.299848729988323,320.0,6.024,51.176,342.273,41.905,58.824
16,16,7,0.0,0.0,320.0,6.024,51.176,320.0,6.024,51.176
21,20,7,23.7505100073826,10.805891603647915,14.545,15.493,58.235,266.4,13.812,64.51
25,2,7,38.23863263452812,14.11924909031852,47.368,21.839,65.882,342.273,41.905,58.824
17,7,7,58.5159455508644,2.1112672541215677e-07,42.162,14.625,50.392,348.387,65.957,81.569
24,21,7,11.28400281021095,1.0118079925512864,332.727,7.006,69.216,14.545,15.493,58.235
11,27,7,24.203230428224487,5.081184257403519e-11,310.0,6.122,38.431,45.517,22.835,75.098
11,25,7,23.42460715885315,6.673534274181039e-06,310.0,6.122,38.431,47.368,21.839,65.882
2,26,7,34.0739915850767,0.05081437272092361,342.273,41.905,58.824,300.0,11.864,76.863
5,11,7,81.82815161317183,6.341584720300556e-09,359.0,85.714,72.549,310.0,6.122,38.431
24,7,7,59.241251847214684,2.800186272792994,332.727,7.006,69.216,348.387,65.957,81.569
3,20,7,49.35101235145565,48.00469215581,346.897,49.714,65.686,266.4,13.812,64.51
30,7,7,56.99311837923454,47.939553266046886,42.128,59.494,84.51,348.387,65.957,81.569
1,16,7,29.92791981450645,29.111471256714193,335.604,35.686,50.0,320.0,6.024,51.176
16,21,8,12.963301698007594,4.78522381988655,320.0,6.024,51.176,14.545,15.493,58.235
20,17,8,26.34592391207203,0.48917014403065695,266.4,13.812,64.51,42.162,14.625,50.392
12,16,8,12.055692593178895,0.6276141217105846,31.2,12.563,39.02,320.0,6.024,51.176
17,11,8,16.066265269186534,0.9188901726982354,42.162,14.625,50.392,310.0,6.122,38.431
25,24,8,21.094425232990336,16.889593762994746,47.368,21.839,65.882,332.727,7.006,69.216
20,30,8,70.05056862382665,0.023499347836614132,266.4,13.812,64.51,42.128,59.494,84.51
29,11,8,31.114315466386035,1.1003514662378517e-22,0.0,34.694,90.392,310.0,6.122,38.431
12,20,8,23.380781158717486,5.312368770192032e-05,31.2,12.563,39.02,266.4,13.812,64.51
24,2,8,35.01529545385382,4.038654932327337,332.727,7.006,69.216,342.273,41.905,58.824
16,17,8,15.038286824103897,14.85455101659843,320.0,6.024,51.176,42.162,14.625,50.392
11,3,8,44.96859926072866,1.5875459828861904e-05,310.0,6.122,38.431,346.897,49.714,65.686
26,5,8,80.25053664330355,55.30932550558476,300.0,11.864,76.863,359.0,85.714,72.549
20,2,8,40.79542333440712,21.36935704216703,266.4,13.812,64.51,342.273,41.905,58.824
3,17,8,43.09098845517927,0.4005907968944886,346.897,49.714,65.686,42.162,14.625,50.392
20,12,8,23.380781158717486,5.312368770192032e-05,266.4,13.812,64.51,31.2,12.563,39.02
27,5,8,71.93445259083455,63.16859756414821,45.517,22.835,75.098,359.0,85.714,72.549
2,17,8,36.81037496257556,8.88005058743809,342.273,41.905,58.824,42.162,14.625,50.392
27,3,8,42.552030448897916,7.235595703238314,45.517,22.835,75.098,346.897,49.714,65.686
1,20,8,33.380613556564604,0.49518358768015786,335.604,35.686,50.0,266.4,13.812,64.51
7,27,8,56.893821800116385,24.62371333343696,348.387,65.957,81.569,45.517,22.835,75.098
2,5,8,47.15073874276026,1.0896288970880084,342.273,41.905,58.824,359.0,85.714,72.549
25,20,8,33.70961559764804,32.46411891205978,47.368,21.839,65.882,266.4,13.812,64.51
20,25,8,33.70961559764804,32.46411891205978,266.4,13.812,64.51,47.368,21.839,65.882
25,16,9,22.38633417900569,0.29615330731814776,47.368,21.839,65.882,320.0,6.024,51.176
11,26,9,5.93105661571479,8.78843020896307e-13,310.0,6.122,38.431,300.0,11.864,76.863
26,11,9,5.93105661571479,8.78843020896307e-13,300.0,11.864,76.863,310.0,6.122,38.431
20,21,9,23.7505100073826,10.805891603647915,266.4,13.812,64.51,14.545,15.493,58.235
16,27,9,23.156463893315433,0.00024778039191113,320.0,6.024,51.176,45.517,22.835,75.098
30,26,9,63.062493145943385,19.58167166147402,42.128,59.494,84.51,300.0,11.864,76.863
17,24,9,13.819932214122225,0.011553722418935092,42.162,14.625,50.392,332.727,7.006,69.216
24,6,9,79.27766185775344,15.581887427783405,332.727,7.006,69.216,357.474,85.586,78.235
24,3,9,42.95541905931723,33.479885036446454,332.727,7.006,69.216,346.897,49.714,65.686
11,2,9,36.873943956998744,0.009004923423154922,310.0,6.122,38.431,342.273,41.905,58.824
9,5,9,82.99827932851252,2.6744028252502755e-12,336.0,2.959,33.137,359.0,85.714,72.549
16,30,9,58.97163363891206,1.3160386035301773e-08,320.0,6.024,51.176,42.128,59.494,84.51
5,27,9,71.93445259083455,63.16859756414821,359.0,85.714,72.549,45.517,22.835,75.098
25,7,9,57.81601259309513,0.42131537848528,47.368,21.839,65.882,348.387,65.957,81.569
26,30,9,63.062493145943385,19.58167166147402,300.0,11.864,76.863,42.128,59.494,84.51
24,1,9,28.690985476522147,0.017800830927253628,332.727,7.006,69.216,335.604,35.686,50.0
3,5,9,38.5413162917211,15.024999337284653,346.897,49.714,65.686,359.0,85.714,72.549
11,4,9,70.298444484272,8.354717168526002e-06,310.0,6.122,38.431,359.524,74.118,66.667
12,24,10,10.717528791265623,1.289182036237606e-07,31.2,12.563,39.02,332.727,7.006,69.216
25,26,10,27.791759596017304,2.492016792203238,47.368,21.839,65.882,300.0,11.864,76.863
29,24,10,28.647287593599643,0.0036486401035087713,0.0,34.694,90.392,332.727,7.006,69.216
24,29,10,28.647287593599643,0.0036486401035087713,332.727,7.006,69.216,0.0,34.694,90.392
28,24,10,20.415545109436493,0.2700813432211079,60.0,19.512,83.922,332.727,7.006,69.216
26,25,10,27.791759596017304,2.492016792203238,300.0,11.864,76.863,47.368,21.839,65.882
17,16,10,15.038286824103897,14.85455101659843,42.162,14.625,50.392,320.0,6.024,51.176
16,26,10,6.536496334261006,1.2139595569215002e-05,320.0,6.024,51.176,300.0,11.864,76.863
21,24,10,11.28400281021095,1.0118079925512864,14.545,15.493,58.235,332.727,7.006,69.216
15,16,10,15.882842696186222,5.864587639237568,34.054,16.444,44.118,320.0,6.024,51.176
16,29,10,30.327557733544968,1.3300077792270517e-12,320.0,6.024,51.176,0.0,34.694,90.392
11,8,10,15.442658102454514,2.0899365082218564,310.0,6.122,38.431,50.526,13.103,28.431
30,12,10,47.21891596362586,5.0125218671551214e-17,42.128,59.494,84.51,31.2,12.563,39.02
11,1,10,30.28095957526278,2.0827390911305192,310.0,6.122,38.431,335.604,35.686,50.0
15,24,10,14.45456780190533,4.882922240578318e-05,34.054,16.444,44.118,332.727,7.006,69.216
3,25,10,43.338375464130806,43.305090511878845,346.897,49.714,65.686,47.368,21.839,65.882
5,16,10,81.1211040041184,0.00873725308777373,359.0,85.714,72.549,320.0,6.024,51.176
11,15,10,16.941869810646573,8.87242969482494,310.0,6.122,38.431,34.054,16.444,44.118
7,25,10,57.81601259309513,0.42131537848528,348.387,65.957,81.569,47.368,21.839,65.882
3,11,10,44.96859926072866,1.5875459828861904e-05,346.897,49.714,65.686,310.0,6.122,38.431
6,24,10,79.27766185775344,15.581887427783405,357.474,85.586,78.235,332.727,7.006,69.216
3,27,10,42.552030448897916,7.235595703238314,346.897,49.714,65.686,45.517,22.835,75.098
11,21,11,13.999288304275296,0.005489259977978065,310.0,6.122,38.431,14.545,15.493,58.235
27,11,11,24.203230428224487,5.081184257403519e-11,45.517,22.835,75.098,310.0,6.122,38.431
20,26,11,7.651902742687585,0.36168636469872983,266.4,13.812,64.51,300.0,11.864,76.863
26,26,11,0.0,0.0,300.0,11.864,76.863,300.0,11.864,76.863
26,21,11,16.817377594817653,0.016282979038095727,300.0,11.864,76.863,14.545,15.493,58.235
30,24,11,57.40494720228649,0.5336589939070179,42.128,59.494,84.51,332.727,7.006,69.216
20,4,11,76.13033902290414,69.36579499584056,266.4,13.812,64.51,359.524,74.118,66.667
17,20,11,26.34592391207203,0.48917014403065695,42.162,14.625,50.392,266.4,13.812,64.51
22,24,11,16.929539032291324,0.6572830495194596,35.714,18.919,56.471,332.727,7.006,69.216
17,5,11,75.71010610614353,0.0041206625048309554,42.162,14.625,50.392,359.0,85.714,72.549
6,20,11,86.948543432278,2.0093353361949116,357.474,85.586,78.235,266.4,13.812,64.51
17,3,11,43.09098845517927,0.4005907968944886,42.162,14.625,50.392,346.897,49.714,65.686
6,11,11,81.5728548889908,1.412483273051117e-12,357.474,85.586,78.235,310.0,6.122,38.431
5,17,11,75.71010610614353,0.0041206625048309554,359.0,85.714,72.549,42.162,14.625,50.392
7,17,11,58.5159455508644,2.1112672541215677e-07,348.387,65.957,81.569,42.162,14.625,50.392
7,23,11,56.20125183151892,0.0018039772491335881,348.387,65.957,81.569,43.043,21.905,58.824
11,6,11,81.5728548889908,1.412483273051117e-12,310.0,6.122,38.431,357.474,85.586,78.235
