R1,G1,B1,R2,G2,B2,Count
13,109,104,31,239,222,238
28,222,206,32,255,255,243
32,255,255,19,148,123,245
31,239,222,13,109,104,249
31,239,222,22,160,127,249
22,160,127,31,239,222,252
12,100,87,32,255,255,282
31,239,222,21,156,132,282
21,156,132,31,239,222,282
19,148,123,32,255,255,293
18,140,123,32,255,255,302
9,82,84,32,255,255,304
32,255,255,13,109,104,321
10,90,74,10,90,74,337
32,255,255,15,120,101,342
4,107,108,4,107,108,344
13,109,104,32,255,255,364
10,90,74,31,239,222,381
31,239,222,10,90,74,381
15,120,101,32,255,255,382
32,255,255,22,160,127,406
32,255,255,21,156,132,437
21,156,132,32,255,255,531
32,255,255,10,90,74,551
31,239,222,31,239,222,562
22,160,127,32,255,255,563
32,255,255,31,239,222,614
10,90,74,32,255,255,673
31,239,222,32,255,255,752
32,255,255,32,255,255,19252
