R1,G1,B1,R2,G2,B2,Count
25,171,176,12,100,87,15
11,92,102,30,222,222,15
9,82,84,11,92,102,15
22,160,127,5,125,127,15
25,171,176,16,136,110,15
8,79,63,3,124,143,15
19,148,123,7,177,189,15
5,125,127,15,120,101,15
1,82,119,27,189,203,15
5,125,127,9,82,84,15
23,152,177,14,115,94,15
25,171,176,22,160,127,16
11,92,102,9,82,84,16
28,222,206,2,106,132,16
8,79,63,17,123,133,16
14,115,94,11,92,102,16
20,140,132,5,125,127,16
30,222,222,23,152,177,16
12,100,87,2,106,132,16
25,171,176,8,79,63,16
8,79,63,27,189,203,16
28,222,206,5,125,127,16
26,199,177,2,106,132,16
1,82,119,11,92,102,16
17,123,133,14,115,94,16
3,124,143,20,140,132,16
26,199,177,1,82,119,16
2,106,132,24,179,149,16
2,106,132,29,225,192,16
29,225,192,3,124,143,16
8,79,63,23,152,177,16
7,177,189,14,115,94,16
26,199,177,27,189,203,17
23,152,177,21,156,132,17
25,171,176,13,109,104,17
23,152,177,19,148,123,17
21,156,132,23,152,177,17
19,148,123,11,92,102,17
9,82,84,23,152,177,17
29,225,192,29,225,192,17
19,148,123,2,106,132,17
28,222,206,3,124,143,17
15,120,101,2,106,132,17
15,120,101,7,177,189,17
15,120,101,5,125,127,17
30,222,222,5,125,127,17
6,152,156,17,123,133,17
5,125,127,13,109,104,17
2,106,132,14,115,94,17
5,125,127,21,156,132,17
3,124,143,13,109,104,17
3,124,143,4,107,108,17
29,225,192,5,125,127,17
5,125,127,24,179,149,17
25,171,176,15,120,101,18
9,82,84,17,123,133,18
11,92,102,19,148,123,18
12,100,87,24,179,149,18
18,140,123,23,152,177,18
12,100,87,11,92,102,18
29,225,192,28,222,206,18
11,92,102,22,160,127,18
25,171,176,14,115,94,18
26,199,177,29,225,192,18
22,160,127,7,177,189,18
14,115,94,3,124,143,18
13,109,104,5,125,127,18
5,125,127,28,222,206,18
7,177,189,13,109,104,18
5,125,127,20,140,132,18
7,177,189,19,148,123,18
3,124,143,8,79,63,18
3,124,143,9,82,84,18
4,107,108,17,123,133,18
3,124,143,29,225,192,18
9,82,84,7,177,189,18
21,156,132,25,171,176,19
22,160,127,23,152,177,19
20,140,132,29,225,192,19
11,92,102,18,140,123,19
29,225,192,26,199,177,19
29,225,192,16,136,110,19
17,123,133,9,82,84,19
19,148,123,17,123,133,19
17,123,133,4,107,108,19
21,156,132,3,124,143,19
24,179,149,1,82,119,19
22,160,127,3,124,143,19
7,177,189,3,124,143,19
1,82,119,12,100,87,19
7,177,189,18,140,123,19
25,171,176,9,82,84,20
24,179,149,16,136,110,20
21,156,132,11,92,102,20
25,171,176,19,148,123,20
17,123,133,18,140,123,20
24,179,149,20,140,132,20
12,100,87,29,225,192,20
27,189,203,14,115,94,20
13,109,104,23,152,177,20
23,152,177,18,140,123,20
16,136,110,1,82,119,20
5,125,127,29,225,192,20
3,124,143,15,120,101,20
13,109,104,7,177,189,20
2,106,132,7,177,189,20
2,106,132,20,140,132,20
2,106,132,21,156,132,20
2,106,132,19,148,123,20
8,79,63,2,106,132,20
11,92,102,21,156,132,21
15,120,101,11,92,102,21
26,199,177,26,199,177,21
15,120,101,25,171,176,21
15,120,101,23,152,177,21
12,100,87,27,189,203,21
8,79,63,16,136,110,21
17,123,133,8,79,63,21
14,115,94,29,225,192,21
14,115,94,7,177,189,21
1,82,119,24,179,149,21
5,125,127,22,160,127,21
2,106,132,13,109,104,21
14,115,94,2,106,132,21
20,140,132,3,124,143,21
2,106,132,8,79,63,21
18,140,123,7,177,189,21
7,177,189,2,106,132,21
7,177,189,9,82,84,21
19,148,123,3,124,143,21
28,222,206,11,92,102,22
22,160,127,11,92,102,22
16,136,110,24,179,149,22
13,109,104,25,171,176,22
24,179,149,30,222,222,22
20,140,132,1,82,119,22
24,179,149,29,225,192,22
16,136,110,29,225,192,22
9,82,84,2,106,132,22
3,124,143,18,140,123,22
1,82,119,16,136,110,22
1,82,119,29,225,192,22
4,107,108,3,124,143,22
5,125,127,19,148,123,22
7,177,189,1,82,119,22
24,179,149,26,199,177,23
17,123,133,19,148,123,23
27,189,203,9,82,84,23
10,90,74,7,177,189,23
9,82,84,3,124,143,23
27,189,203,1,82,119,23
8,79,63,29,225,192,23
4,107,108,27,189,203,23
1,82,119,4,107,108,23
3,124,143,7,177,189,23
26,199,177,16,136,110,24
20,140,132,26,199,177,24
26,199,177,20,140,132,24
27,189,203,6,152,156,24
8,79,63,25,171,176,24
4,107,108,2,106,132,24
5,125,127,8,79,63,24
2,106,132,4,107,108,24
4,107,108,1,82,119,24
22,160,127,25,171,176,25
17,123,133,15,120,101,25
27,189,203,22,160,127,25
11,92,102,13,109,104,25
17,123,133,22,160,127,25
12,100,87,16,136,110,25
29,225,192,24,179,149,25
21,156,132,2,106,132,25
29,225,192,20,140,132,25
18,140,123,3,124,143,25
5,125,127,30,222,222,25
3,124,143,2,106,132,25
18,140,123,25,171,176,26
17,123,133,13,109,104,26
11,92,102,15,120,101,26
18,140,123,11,92,102,26
12,100,87,14,115,94,26
24,179,149,24,179,149,26
20,140,132,16,136,110,26
30,222,222,26,199,177,26
29,225,192,8,79,63,26
5,125,127,14,115,94,26
16,136,110,26,199,177,27
29,225,192,15,120,101,27
15,120,101,27,189,203,27
13,109,104,17,123,133,27
15,120,101,17,123,133,27
30,222,222,16,136,110,27
30,222,222,27,189,203,27
29,225,192,1,82,119,27
12,100,87,1,82,119,27
22,160,127,2,106,132,27
2,106,132,15,120,101,27
2,106,132,22,160,127,27
7,177,189,10,90,74,27
29,225,192,14,115,94,27
27,189,203,15,120,101,28
16,136,110,8,79,63,28
14,115,94,26,199,177,28
25,171,176,10,90,74,28
29,225,192,9,82,84,28
16,136,110,30,222,222,28
14,115,94,12,100,87,28
30,222,222,24,179,149,28
14,115,94,16,136,110,28
13,109,104,2,106,132,28
8,79,63,1,82,119,28
9,82,84,29,225,192,28
4,107,108,26,199,177,28
10,90,74,23,152,177,29
12,100,87,20,140,132,29
9,82,84,27,189,203,29
22,160,127,17,123,133,29
13,109,104,11,92,102,29
18,140,123,27,189,203,29
19,148,123,5,125,127,29
12,100,87,26,199,177,29
26,199,177,30,222,222,29
14,115,94,20,140,132,29
13,109,104,3,124,143,29
3,124,143,22,160,127,29
2,106,132,28,222,206,29
2,106,132,18,140,123,29
1,82,119,20,140,132,29
19,148,123,27,189,203,30
12,100,87,12,100,87,30
24,179,149,12,100,87,30
22,160,127,27,189,203,30
23,152,177,15,120,101,30
24,179,149,8,79,63,30
25,171,176,18,140,123,30
20,140,132,24,179,149,30
18,140,123,17,123,133,30
27,189,203,19,148,123,30
16,136,110,16,136,110,30
12,100,87,4,107,108,30
27,189,203,8,79,63,30
30,222,222,7,177,189,30
18,140,123,5,125,127,30
7,177,189,30,222,222,30
1,82,119,15,120,101,30
2,106,132,32,255,255,30
14,115,94,27,189,203,31
15,120,101,29,225,192,31
28,222,206,29,225,192,31
13,109,104,27,189,203,31
30,222,222,20,140,132,31
10,90,74,5,125,127,31
26,199,177,6,152,156,31
8,79,63,5,125,127,31
29,225,192,30,222,222,31
6,152,156,24,179,149,31
12,100,87,30,222,222,32
31,239,222,23,152,177,32
26,199,177,15,120,101,32
30,222,222,29,225,192,32
24,179,149,6,152,156,32
12,100,87,6,152,156,32
8,79,63,26,199,177,32
14,115,94,5,125,127,32
5,125,127,18,140,123,32
6,152,156,12,100,87,32
1,82,119,8,79,63,32
2,106,132,12,100,87,32
6,152,156,27,189,203,32
6,152,156,20,140,132,32
27,189,203,18,140,123,33
26,199,177,12,100,87,33
18,140,123,26,199,177,33
7,177,189,32,255,255,33
6,152,156,26,199,177,33
27,189,203,21,156,132,34
21,156,132,27,189,203,34
17,123,133,21,156,132,34
32,255,255,2,106,132,34
19,148,123,26,199,177,34
