R1,G1,B1,R2,G2,B2,Count
182,171,176,112,100,87,15
104,92,102,239,222,222,15
87,82,84,104,92,102,15
173,160,127,245,125,127,15
182,171,176,147,136,110,15
82,79,63,211,124,143,15
165,148,123,239,177,189,15
245,125,127,129,120,101,15
173,82,119,203,189,203,15
245,125,127,87,82,84,15
163,152,177,131,115,94,15
182,171,176,173,160,127,16
104,92,102,87,82,84,16
222,222,206,194,106,132,16
82,79,63,138,123,133,16
131,115,94,104,92,102,16
165,140,132,245,125,127,16
239,222,222,163,152,177,16
112,100,87,194,106,132,16
182,171,176,82,79,63,16
82,79,63,203,189,203,16
222,222,206,245,125,127,16
206,199,177,194,106,132,16
173,82,119,104,92,102,16
138,123,133,131,115,94,16
211,124,143,165,140,132,16
206,199,177,173,82,119,16
194,106,132,187,179,149,16
194,106,132,239,225,192,16
239,225,192,211,124,143,16
82,79,63,163,152,177,16
239,177,189,131,115,94,16
206,199,177,203,189,203,17
163,152,177,156,156,132,17
182,171,176,120,109,104,17
163,152,177,165,148,123,17
156,156,132,163,152,177,17
165,148,123,104,92,102,17
87,82,84,163,152,177,17
239,225,192,239,225,192,17
165,148,123,194,106,132,17
222,222,206,211,124,143,17
129,120,101,194,106,132,17
129,120,101,239,177,189,17
129,120,101,245,125,127,17
239,222,222,245,125,127,17
247,152,156,138,123,133,17
245,125,127,120,109,104,17
194,106,132,131,115,94,17
245,125,127,156,156,132,17
211,124,143,120,109,104,17
211,124,143,233,107,108,17
239,225,192,245,125,127,17
245,125,127,187,179,149,17
182,171,176,129,120,101,18
87,82,84,138,123,133,18
104,92,102,165,148,123,18
112,100,87,187,179,149,18
156,140,123,163,152,177,18
112,100,87,104,92,102,18
239,225,192,222,222,206,18
104,92,102,173,160,127,18
182,171,176,131,115,94,18
206,199,177,239,225,192,18
173,160,127,239,177,189,18
131,115,94,211,124,143,18
120,109,104,245,125,127,18
245,125,127,222,222,206,18
239,177,189,120,109,104,18
245,125,127,165,140,132,18
239,177,189,165,148,123,18
211,124,143,82,79,63,18
211,124,143,87,82,84,18
233,107,108,138,123,133,18
211,124,143,239,225,192,18
87,82,84,239,177,189,18
156,156,132,182,171,176,19
173,160,127,163,152,177,19
165,140,132,239,225,192,19
104,92,102,156,140,123,19
239,225,192,206,199,177,19
239,225,192,147,136,110,19
138,123,133,87,82,84,19
165,148,123,138,123,133,19
138,123,133,233,107,108,19
156,156,132,211,124,143,19
187,179,149,173,82,119,19
173,160,127,211,124,143,19
239,177,189,211,124,143,19
173,82,119,112,100,87,19
239,177,189,156,140,123,19
182,171,176,87,82,84,20
187,179,149,147,136,110,20
156,156,132,104,92,102,20
182,171,176,165,148,123,20
138,123,133,156,140,123,20
187,179,149,165,140,132,20
112,100,87,239,225,192,20
203,189,203,131,115,94,20
120,109,104,163,152,177,20
163,152,177,156,140,123,20
147,136,110,173,82,119,20
245,125,127,239,225,192,20
211,124,143,129,120,101,20
120,109,104,239,177,189,20
194,106,132,239,177,189,20
194,106,132,165,140,132,20
194,106,132,156,156,132,20
