R1,G1,B1,R2,G2,B2,Count
255,255,255,222,222,206,231
255,255,255,87,82,84,238
120,109,104,239,239,222,238
222,222,206,255,255,255,243
255,255,255,165,148,123,245
239,239,222,120,109,104,249
239,239,222,173,160,127,249
173,160,127,239,239,222,252
112,100,87,255,255,255,282
239,239,222,156,156,132,282
156,156,132,239,239,222,282
165,148,123,255,255,255,293
156,140,123,255,255,255,302
87,82,84,255,255,255,304
255,255,255,120,109,104,321
99,90,74,99,90,74,337
255,255,255,129,120,101,342
233,107,108,233,107,108,344
120,109,104,255,255,255,364
99,90,74,239,239,222,381
239,239,222,99,90,74,381
129,120,101,255,255,255,382
255,255,255,173,160,127,406
255,255,255,156,156,132,437
156,156,132,255,255,255,531
255,255,255,99,90,74,551
239,239,222,239,239,222,562
173,160,127,255,255,255,563
255,255,255,239,239,222,614
99,90,74,255,255,255,673
239,239,222,255,255,255,752
255,255,255,255,255,255,19252
