Order1,Order2,Count,Norm,Count_Norm
5.0,31.0,95,24.55977221460187,2333.0
5.0,32.0,126,26.39689411526627,3326.0
6.0,7.0,95,23.85539383490048,2266.0
6.0,8.0,103,22.54997829675642,2322.0
6.0,9.0,121,22.955910860333482,2777.0
6.0,10.0,203,22.91667384560765,4652.0
6.0,11.0,22,21.09807503190975,464.0
6.0,12.0,64,23.217386853174954,1485.0
6.0,13.0,105,22.689448335750495,2382.0
6.0,14.0,91,21.288471728344774,1937.0
6.0,15.0,125,22.483853100261477,2810.0
6.0,16.0,30,26.45490396802319,793.0
6.0,17.0,73,23.12224723529078,1687.0
6.0,18.0,135,21.606445332844544,2916.0
6.0,19.0,94,22.75685454822301,2139.0
6.0,20.0,23,23.81972038628573,547.0
6.0,21.0,79,20.56276711356988,1624.0
6.0,22.0,113,22.747137026422386,2570.0
6.0,23.0,124,21.431066008262906,2657.0
6.0,24.0,19,19.835903787596717,376.0
6.0,25.0,63,23.77088652866928,1497.0
6.0,26.0,56,23.31614634700823,1305.0
6.0,27.0,64,21.415352476311227,1370.0
6.0,28.0,78,21.614516478494465,1685.0
6.0,29.0,164,22.70905797705186,3724.0
6.0,30.0,95,21.49632344965405,2042.0
6.0,31.0,331,21.380144098497233,7076.0
6.0,32.0,270,23.956832575445876,6468.0
7.0,8.0,27,16.95855341596153,457.0
7.0,9.0,39,20.395543272936333,795.0
7.0,10.0,50,19.887182022362623,994.0
7.0,11.0,7,24.41049191284568,170.0
7.0,12.0,19,17.63720733202053,335.0
7.0,13.0,38,20.771913773490283,789.0
7.0,14.0,31,20.59277227151586,638.0
7.0,15.0,37,20.85097396220171,771.0
7.0,16.0,9,18.3808469109071,165.0
7.0,17.0,18,24.587248746668372,442.0
7.0,18.0,40,20.36916937682082,814.0
7.0,19.0,24,17.066983568967224,409.0
7.0,20.0,6,22.227276147224046,133.0
7.0,21.0,27,17.396727617436667,469.0
7.0,22.0,33,17.289427637531787,570.0
7.0,23.0,29,22.642035420518575,656.0
7.0,24.0,8,8.773117985685078,70.0
7.0,25.0,19,21.214459367525414,403.0
7.0,26.0,3,19.217447291136114,57.0
7.0,27.0,14,19.49687323481176,272.0
7.0,28.0,26,17.817684845344363,463.0
7.0,29.0,60,21.33579791226807,1280.0
7.0,30.0,20,19.521550153702155,390.0
7.0,31.0,94,18.978725294285667,1784.0
7.0,32.0,78,21.41637711034572,1670.0
8.0,9.0,136,14.467026802325368,1967.0
8.0,10.0,306,10.35618206029788,3168.0
8.0,11.0,24,11.914832093309734,285.0
8.0,12.0,82,9.772984354752655,801.0
8.0,13.0,157,10.294320198648075,1616.0
8.0,14.0,114,9.768027286572298,1113.0
8.0,15.0,103,10.981910897414458,1131.0
8.0,16.0,37,11.534749167976889,426.0
8.0,17.0,49,9.988322879771768,489.0
8.0,18.0,151,8.320458794112366,1256.0
8.0,19.0,148,9.800520882649,1450.0
8.0,20.0,29,17.70142591145784,513.0
8.0,21.0,82,11.479160132721468,941.0
8.0,22.0,115,9.488090146757763,1091.0
8.0,23.0,142,11.300430292405462,1604.0
8.0,24.0,40,14.30659837423913,572.0
8.0,25.0,74,12.007206081251784,888.0
8.0,26.0,46,14.923141726923289,686.0
8.0,27.0,70,9.64440888377859,675.0
8.0,28.0,105,9.75191113705306,1023.0
8.0,29.0,94,11.519163567849617,1082.0
8.0,30.0,49,12.896081200037136,631.0
8.0,31.0,276,10.182645134760154,2810.0
8.0,32.0,383,10.14733649043487,3886.0
9.0,10.0,297,12.05360807439256,3579.0
9.0,11.0,31,13.994966887253078,433.0
9.0,12.0,103,10.987531158407801,1131.0
9.0,13.0,197,12.76883681358796,2515.0
