R1,G1,B1,R2,G2,B2,Count,Norm,Norm_with_weight
147,136,110,245,125,127,11,10.650830310177179,4.907465983538237
247,152,156,163,152,177,11,22.340818532087958,11.193665054312422
147,136,110,211,124,143,11,18.34301865251209,4.634356601002268
247,152,156,104,92,102,11,27.162476458671474,13.029190053856876
245,125,127,147,136,110,11,35.92026984095733,7.019295953135278
239,177,189,147,136,110,11,24.855901805241853,9.947926748935856
239,177,189,173,160,127,11,21.00547685847403,10.183214227892744
104,92,102,247,152,156,11,15.03367360514802,1.1847198309582054
211,124,143,112,100,87,11,30.72087201772678,17.40768553355966
239,225,192,194,106,132,11,14.88870956326386,3.4286666503851637
211,124,143,203,189,203,11,17.733135516734126,3.5587254678027462
165,140,132,138,123,133,12,9.268042667871901,7.299833929514208
203,189,203,112,100,87,12,19.174142657898727,2.780793357274277
87,82,84,182,171,176,12,14.05541757540666,3.9692663152054344
165,148,123,163,152,177,12,12.269165148582083,6.296182965461092
187,179,149,104,92,102,12,11.412869424725622,3.3745096590115082
156,156,132,239,177,189,12,13.98573886143999,4.019976252121599
182,171,176,187,179,149,12,13.804933439973231,1.8738924611676193
182,171,176,233,107,108,12,17.72760684690345,0.8025553190662812
112,100,87,211,124,143,12,11.807020894573844,3.155755822731767
131,115,94,163,152,177,12,12.480217670938316,3.660107342377934
239,177,189,156,156,132,12,20.14822827649446,10.31332708896058
239,177,189,245,125,127,12,23.43283915616387,6.2794901662753455
233,107,108,182,171,176,12,49.657088907482624,3.618602245182222
233,107,108,104,92,102,12,31.988676352231057,3.7365950282838636
233,107,108,163,152,177,12,38.12536594906357,8.472760726372282
163,152,177,247,152,156,12,25.298622240483496,0.10925915241617741
203,189,203,194,106,132,12,21.016989475189575,3.951185347793898
147,136,110,194,106,132,12,11.041496207480172,4.832955208938656
222,222,206,163,152,177,12,8.777753727827045,4.538192270629334
187,179,149,245,125,127,12,16.437620291481803,6.583144246566092
211,124,143,222,222,206,12,23.42905110146047,9.577086502745688
203,189,203,239,222,222,13,15.551458259587417,1.8213194992344448
104,92,102,222,222,206,13,13.323785571665073,1.8142380708038754
182,171,176,222,222,206,13,12.623091381548516,1.8538835792373125
203,189,203,206,199,177,13,13.228176146796944,1.4610434105504984
206,199,177,187,179,149,13,5.54444495095577,2.162976377906605
163,152,177,87,82,84,13,26.05371910057776,0.1376171095401287
156,156,132,245,125,127,13,11.261467907203881,3.780646844187478
222,222,206,138,123,133,13,12.28819550230774,4.443454333975525
138,123,133,245,125,127,13,21.84421289917432,0.25529439525183717
222,222,206,239,177,189,13,14.516597913336726,7.307706530114742
165,140,132,239,177,189,13,10.543386322036952,5.536321925122787
194,106,132,182,171,176,13,32.850470316612196,16.71122329587678
163,152,177,82,79,63,13,24.79583062780134,0.03185414471175218
239,177,189,239,225,192,13,23.093893652613524,8.921077028216722
203,189,203,233,107,108,13,25.97896955643371,0.7159820630878168
245,125,127,112,100,87,13,38.89258399962088,8.69304470304469
187,179,149,211,124,143,13,13.368331626830411,3.966046822970428
138,123,133,247,152,156,13,24.71546891427409,3.2971702081544576
165,140,132,203,189,203,13,18.475003646209554,7.183494618590789
239,177,189,222,222,206,13,21.118771777352,9.48386245544462
129,120,101,211,124,143,13,14.05734481776863,7.277961669730384
239,177,189,239,177,189,13,18.194381379744495,5.297136643478723
211,124,143,131,115,94,13,22.95555948411364,10.882094723226382
82,79,63,239,177,189,13,12.919292275843123,4.147778616655748
104,92,102,147,136,110,14,12.607946965139744,1.5046843133731294
138,123,133,112,100,87,14,18.026108684285354,0.9697449572556851
206,199,177,182,171,176,14,8.699026413017688,2.4369838508298494
203,189,203,147,136,110,14,15.082705614519275,0.9873519689437449
239,225,192,104,92,102,14,16.421329276154356,6.250923473089151
147,136,110,203,189,203,14,13.274338653934251,4.064087912971769
165,140,132,104,92,102,14,11.508031586498845,3.776405882138803
163,152,177,173,160,127,14,28.196336941545095,0.0014213946927753643
138,123,133,222,222,206,14,17.185054390974862,2.0977600352996366
163,152,177,120,109,104,14,23.411185234881742,0.14987112879139738
138,123,133,187,179,149,14,15.006817401583628,4.541256952526806
