Order1,Order2,Count,Norm,Norm_with_weight
5,20,1,50.44799302251776,2.831886123777067
7,24,1,0.0,0.0
26,20,2,19.03972782369677,0.0508742716091563
16,11,2,19.482874503771647,0.6923796611353412
27,16,2,7.138831278146043,1.370051478743528
11,16,2,14.774443814498714,0.675539597929065
2,20,2,40.80383648648112,1.7911197126569518
16,20,2,19.92485884517128,0.0145810598987483
5,3,2,4.242640687119285,3.543751383672189
20,11,2,11.14005494464026,1.787163742408409
24,24,3,10.356334123189733,2.618431411272519
26,24,3,14.45523534282582,0.7222934493979519
20,20,3,28.584185933760665,0.0027386358777569
1,5,3,40.41627524194512,13.821247002723403
20,7,3,20.037875642695443,0.3809732163163207
5,24,3,32.702406800607285,9.169586341983967
7,26,3,19.217447291136114,15.185246656862418
3,16,3,26.158013471099174,13.141659524186696
24,20,3,13.083921536603212,1.1433081586831473
11,7,3,21.46949704759326,2.098486468865325
5,1,3,34.95012617519162,2.1308214090867104
20,16,3,24.98616759045072,0.6413904969350507
24,30,3,8.122898262031557,0.629056002617937
11,5,3,27.220656216850376,0.3132831495597596
7,16,3,21.17152439671062,11.40162140471417
7,20,3,24.41667665175265,4.076885530815521
24,11,4,11.834636632058096,1.603164446485693
20,24,4,24.72734270452468,0.4484342858198083
3,24,4,18.281156914479027,11.033062709633349
2,16,4,26.765675460017675,5.946417271942135
7,11,4,27.3514867780981,9.892093838746522
5,2,4,14.684697585666804,13.93276154951197
20,3,4,25.451325452115537,0.027904386029715
20,5,4,18.124345376469083,0.3525471009669824
16,3,4,19.5655355892781,4.320794157991289
16,1,5,22.558978901125208,2.0793852157216084
24,27,5,11.934820541680136,1.1158104387030956
27,20,5,6.705814051131301,2.012816144022073
24,26,5,17.989395431251115,4.552850272836071
7,12,5,21.89439600603713,8.323398656789198
12,5,5,10.550271014446192,8.576381939252661
11,24,6,12.418328796538098,2.7933072372997336
11,11,6,11.96180481249676,2.115317941859104
11,20,6,17.55828424257128,6.297644043058072
20,27,6,22.303096610946216,0.1589768967944526
11,30,6,16.135795507481465,0.2881835970785702
20,29,6,27.653466939753454,1.1545546969104576
30,16,6,17.652824219275292,6.811569561571982
24,5,6,10.659237656369053,2.3707061205957607
26,3,6,18.298345521784675,9.185309396403648
16,24,6,15.950533182247336,9.805643172296223
2,11,6,22.381331653389765,6.371265710867628
5,26,6,23.967318661677968,13.733703381326023
16,7,6,15.590169425103577,0.8347192050452285
27,7,6,16.317837141996584,4.573875175666687
20,1,6,26.837005155197897,0.1416827987245902
5,7,6,34.225622875450085,18.12113111636847
1,24,6,23.054730675704747,7.705454880565945
26,16,7,17.84136921272491,0.8849010335758899
24,16,7,13.2996211276872,1.3284831702254845
16,2,7,20.70916337573245,1.2445438292958986
16,16,7,26.321378330836787,5.312054299412692
21,20,7,10.200096114362776,5.892540902852796
25,2,7,32.934875200903825,5.769053234392271
17,7,7,24.318595688094888,0.8425642061780865
24,21,7,15.943310005241791,1.725955387795827
11,27,7,13.933178591391451,1.9103103063150368
11,25,7,15.876493021791678,2.66615262558342
2,26,7,21.724027752548583,4.794314778009971
5,11,7,41.60696270026688,7.6552062175188835
24,7,7,17.546235971370155,1.1499873293590783
3,20,7,22.031350448308583,15.67528036335823
30,7,7,15.949206654790784,4.375701706716525
1,16,7,24.996517999322823,1.614968062305857
16,21,8,17.64491803528981,1.0900897068915787
20,17,8,20.628784053161,0.3942395536221956
12,16,8,6.8071902573338505,3.575314867977593
17,11,8,6.931740330379822,2.5370986150825163
25,24,8,8.588985378849035,2.384145856888639
20,30,8,25.62793558274139,0.1316674651603579
29,11,8,14.48319276165742,3.575240543911819
12,20,8,12.569902050638603,4.296917023487021
24,2,8,15.384490741610184,1.22663763798647
16,17,8,15.32057458055915,2.5326097555702938
11,3,8,14.780002503710705,4.003999767161131
26,5,8,26.46051547475437,1.4490887712189562
20,2,8,24.86861847259749,1.7559606644315346
3,17,8,33.23557170872137,13.524947308899254
20,12,8,23.031577527304844,0.1415318189422743
27,5,8,4.032086204510322,2.510454633312098
2,17,8,30.164932806249364,9.40863856436694
27,3,8,17.371646501854936,8.513546409600883
1,20,8,38.52985393395844,3.4573898075646343
7,27,8,22.67590932762693,10.09007209764155
2,5,8,26.03073463628061,6.147445969721142
25,20,8,20.80335595050286,5.210409794490073
20,25,8,33.349337936073695,0.9278448406048404
25,16,9,13.064856652271647,3.7908983766479327
11,26,9,14.436578942050794,1.3886428393495676
26,11,9,17.57160016015424,2.025508563027121
20,21,9,21.91944955648095,0.1520088800992428
16,27,9,21.147344878194502,4.85341191156829
30,26,9,16.974189145057196,4.640144434051031
17,24,9,6.731799783230366,2.545418194505693
24,6,9,14.682079205272975,3.0383575438152453
24,3,9,14.971534975122417,8.898623778519607
11,2,9,16.307831159050423,4.904899333241302
9,5,9,21.394392796446823,2.99339793382412
16,30,9,13.495247600878043,3.0654167558917877
5,27,9,23.30039568145429,3.633634841733548
25,7,9,23.662347464879986,8.981560601420748
26,30,9,20.34866248593926,0.4065810411421904
24,1,9,14.7395971736478,4.949420576490019
3,5,9,22.99606480431098,4.995535796576876
11,4,9,27.295482768385835,0.7805378852773958
12,24,10,5.132616339950653,3.4172562130394626
25,26,10,11.725617064148672,4.132728412730428
29,24,10,15.18912720098444,2.278901651656848
24,29,10,15.575280832456304,1.1266943481989244
28,24,10,10.314852293462492,3.883103363256569
26,25,10,14.6929107126571,1.4501201235808154
17,16,10,11.859810771159042,1.660933697972539
16,26,10,12.130145846174573,2.628874765766965
21,24,10,17.47252494329919,6.008011443345402
