R1,G1,B1,R2,G2,B2,Count,Norm,Norm_with_weight
182,171,176,203,189,203,5,19.642708735944254,19.13351181041255
239,177,189,112,100,87,5,19.222736239456523,0.7457762633615748
112,100,87,245,125,127,5,41.321931511813794,40.00352798700716
104,92,102,182,171,176,6,12.815835923038092,9.405743391508466
104,92,102,104,92,102,6,18.961740591722027,13.916319413974536
104,92,102,163,152,177,6,7.158282976842587,0.15431412865155864
163,152,177,206,199,177,6,33.57378838790942,0.0006903969911362036
104,92,102,239,225,192,6,10.726340567262932,0.694001857001108
163,152,177,239,222,222,6,33.459371165956114,8.58901951431471
239,225,192,138,123,133,6,9.407135400228208,5.379572383151032
182,171,176,245,125,127,6,44.66113897488432,8.860870053563731
203,189,203,211,124,143,6,29.881315625960642,4.741262011238985
138,123,133,182,171,176,6,16.91719889523588,13.558638612563172
194,106,132,104,92,102,6,38.422409180116404,15.017802637850524
245,125,127,203,189,203,6,80.52630244584194,77.55029188658585
138,123,133,239,177,189,6,32.00054499754402,0.08332016426019312
206,199,177,239,177,189,6,27.872095116301722,26.930013030302923
163,152,177,173,82,119,6,40.318023163445226,1.7357003357416474e-05
245,125,127,239,177,189,6,27.91915776458545,24.789426580213398
173,82,119,182,171,176,6,35.721645719210706,35.42520807440477
203,189,203,138,123,133,7,3.9146519162092495,8.79610465130764e-05
182,171,176,138,123,133,7,7.911725749968553,0.6839084084169318
138,123,133,194,106,132,7,30.693552150921228,0.013121970054361606
138,123,133,138,123,133,7,4.367658587368241,0.13079198911864295
165,140,132,163,152,177,7,5.650346565926538,0.46268222929439945
187,179,149,194,106,132,7,41.43871665910108,10.990603838481654
147,136,110,239,177,189,7,57.64189686251177,2.3022555570040364
182,171,176,165,140,132,7,3.000102628595331,2.9223311228780524
104,92,102,206,199,177,7,5.998186825587031,4.402163575953786
104,92,102,187,179,149,7,33.196412137930636,0.25085369925519646
194,106,132,203,189,203,7,25.829672304256746,7.765858377766682
245,125,127,104,92,102,7,43.066973188177954,8.354738916204164
182,171,176,239,177,189,7,16.659468356826398,1.44008410415827
211,124,143,163,152,177,7,13.80795897533678,13.063316240132714
239,225,192,239,177,189,7,61.61387190613341,1.6717126463229048
173,82,119,138,123,133,7,34.2140289686617,0.0017288170157141595
138,123,133,165,140,132,8,22.653984109785707,0.3195245134015154
163,152,177,147,136,110,8,28.512300440929177,1.9937963013178355
112,100,87,138,123,133,8,25.17465744026583,4.769551188347358
147,136,110,104,92,102,8,21.925984269421278,13.55855960468489
187,179,149,182,171,176,8,15.614491818780195,11.756321414125681
163,152,177,239,225,192,8,42.13604037593119,0.0008664674703320813
239,222,222,104,92,102,8,17.773452323383047,16.060975804495513
112,100,87,163,152,177,8,31.64985374568314,31.143217985915822
182,171,176,194,106,132,8,30.784416318233003,1.9682647058579226
138,123,133,147,136,110,8,19.86153207177081,0.8961598646788502
104,92,102,211,124,143,8,31.733270703166475,24.854121884979445
203,189,203,245,125,127,8,84.02789961130445,0.09919168032308925
163,152,177,194,106,132,8,29.899354443136428,0.19278766671679942
211,124,143,147,136,110,8,43.494817149527385,28.15846871237643
163,152,177,112,100,87,8,21.63122680330684,1.5126194423614496
206,199,177,245,125,127,8,52.250923954855985,16.743576018546626
194,106,132,147,136,110,8,73.07068941140271,30.4552681689124
206,199,177,211,124,143,8,36.6065725042683,36.6065725042683
173,82,119,163,152,177,8,40.06885080427569,0.2570931535970463
239,177,189,206,199,177,8,25.033173950387294,23.851640901710283
194,106,132,245,125,127,8,22.90082532454165,8.951028379184361
187,179,149,163,152,177,8,35.783254432192265,8.150286187792016
163,152,177,187,179,149,8,23.11964246962612,1.6167007547928707
187,179,149,138,123,133,9,20.1905008287713,1.1222826659329532
104,92,102,203,189,203,9,17.894048760444793,13.132723599662427
203,189,203,104,92,102,9,5.102451312677681,0.02179009378610755
163,152,177,165,140,132,9,31.00871471738069,0.0009437540234247798
138,123,133,206,199,177,9,12.891570132144883,10.332215259317524
239,225,192,203,189,203,9,16.18801977338716,6.743508337955585
147,136,110,182,171,176,9,20.205926858726205,7.0413888951913135
182,171,176,247,152,156,9,33.58407978057799,33.24876975494789
182,171,176,211,124,143,9,36.64584956071505,36.279970226348226
104,92,102,194,106,132,9,38.46351929497372,0.0028153600415182344
87,82,84,245,125,127,9,49.71092566414279,7.997667692929435
138,123,133,239,225,192,9,22.691619972505187,18.186667701085074
245,125,127,206,199,177,9,52.71440555415006,15.984034848602386
187,179,149,239,177,189,9,29.701656002819714,25.985697599080925
203,189,203,239,225,192,9,34.70655206726207,0.00028427109484039894
182,171,176,173,82,119,9,10.755506208072877,0.2455599879282235
211,124,143,245,125,127,9,13.391507314344317,3.554875000370322
104,92,102,233,107,108,9,53.40463288388306,0.40356016971425906
112,100,87,182,171,176,10,14.004929048630668,6.233609880478552
187,179,149,203,189,203,10,15.118366983079389,13.226916121341324
239,222,222,182,171,176,10,13.792175531992635,0.0016207068886663842
182,171,176,239,222,222,10,6.742924703089605,0.0020890295360469
222,222,206,182,171,176,10,20.418141278526065,20.360781090653134
203,189,203,187,179,149,10,9.105727004998185,5.250864768962329
147,136,110,138,123,133,10,20.37896068023952,0.16874029570817523
138,123,133,203,189,203,10,10.107250186371083,8.100664506720424
165,140,132,182,171,176,10,20.897677619141472,6.252450933921633
131,115,94,138,123,133,10,17.924071056442337,0.3712776993777963
