Order1,Order2,Count,Norm,Norm_with_weight
16,16,7,4.367658587368241,0.1307919891186429
21,20,7,5.650346565926538,0.4626822292943994
25,2,7,41.43871665910108,10.990603838481654
17,7,7,57.64189686251177,2.3022555570040364
24,21,7,3.000102628595331,2.9223311228780524
11,27,7,5.998186825587031,4.402163575953786
11,25,7,33.19641213793064,0.2508536992551964
2,26,7,25.829672304256743,7.765858377766682
5,11,7,43.066973188177954,8.354738916204164
24,7,7,16.659468356826398,1.44008410415827
3,20,7,13.80795897533678,13.063316240132714
30,7,7,61.61387190613341,1.6717126463229048
1,16,7,34.2140289686617,0.0017288170157141
16,21,8,22.653984109785707,0.3195245134015154
20,17,8,28.512300440929177,1.9937963013178357
12,16,8,25.17465744026583,4.769551188347358
17,11,8,21.92598426942128,13.55855960468489
25,24,8,15.614491818780197,11.75632141412568
20,30,8,42.13604037593119,0.000866467470332
29,11,8,17.773452323383047,16.060975804495513
12,20,8,31.64985374568314,31.143217985915825
24,2,8,30.784416318233003,1.9682647058579223
16,17,8,19.86153207177081,0.8961598646788502
11,3,8,31.733270703166475,24.854121884979445
26,5,8,84.02789961130445,0.0991916803230892
20,2,8,29.899354443136428,0.1927876667167994
3,17,8,43.494817149527385,28.15846871237643
20,12,8,21.63122680330684,1.5126194423614496
27,5,8,52.25092395485599,16.743576018546626
2,17,8,73.07068941140271,30.4552681689124
27,3,8,36.6065725042683,36.6065725042683
1,20,8,40.06885080427569,0.2570931535970463
7,27,8,25.03317395038729,23.851640901710283
2,5,8,22.90082532454165,8.951028379184361
25,20,8,35.783254432192265,8.150286187792016
20,25,8,23.11964246962612,1.616700754792871
25,16,9,20.1905008287713,1.1222826659329532
11,26,9,17.894048760444793,13.132723599662429
26,11,9,5.102451312677681,0.0217900937861075
20,21,9,31.00871471738069,0.0009437540234247
16,27,9,12.891570132144883,10.332215259317524
30,26,9,16.18801977338716,6.743508337955585
17,24,9,20.205926858726205,7.0413888951913135
24,6,9,33.58407978057799,33.24876975494789
24,3,9,36.64584956071505,36.27997022634823
11,2,9,38.46351929497372,0.0028153600415182
9,5,9,49.71092566414279,7.997667692929435
16,30,9,22.691619972505187,18.186667701085074
5,27,9,52.71440555415006,15.984034848602386
25,7,9,29.701656002819718,25.985697599080925
26,30,9,34.70655206726207,0.0002842710948403
24,1,9,10.755506208072877,0.2455599879282235
3,5,9,13.391507314344317,3.554875000370322
11,4,9,53.40463288388306,0.403560169714259
12,24,10,14.004929048630668,6.233609880478552
25,26,10,15.118366983079389,13.226916121341324
29,24,10,13.792175531992635,0.0016207068886663
24,29,10,6.742924703089605,0.0020890295360469
28,24,10,20.418141278526065,20.36078109065313
26,25,10,9.105727004998185,5.250864768962329
17,16,10,20.37896068023952,0.1687402957081752
16,26,10,10.107250186371084,8.100664506720424
21,24,10,20.897677619141472,6.252450933921633
15,16,10,17.924071056442337,0.3712776993777963
16,29,10,19.61276439443589,0.0158895655898418
11,8,10,4.561913128907661,3.3480597381655013
30,12,10,50.53605105784349,7.801935566774163
11,1,10,36.028471574739164,34.80642768283788
15,24,10,24.873605733051445,0.4022401173814839
3,25,10,75.55490171246271,35.7039826966815
5,16,10,46.44599410555937,2.4804877496647117
11,15,10,56.22329622584406,3.5043441980797345
7,25,10,51.4742816284965,51.4742816284965
3,11,10,37.57229453260477,28.30002553075383
6,24,10,37.41616834339987,36.92922388041482
3,27,10,73.43254353559814,25.75117649905959
11,21,11,15.770700567670788,0.1191736793966933
27,11,11,17.778975347981227,1.051395554777485
20,26,11,17.04135773201845,1.44094198809311e-07
26,26,11,14.148959840459163,0.0001158899419598
26,21,11,12.059476480813196,0.1943261772607781
30,24,11,11.54598264682535,11.025211100287017
20,4,11,51.94589481164089,2.378847464413077e-05
17,20,11,28.512300440929177,0.2360853471977049
22,24,11,16.16800672307112,12.389375820505494
17,5,11,24.254361209912236,0.0044946456998726
6,20,11,46.04620863288474,28.533932336498367
17,3,11,49.4048844740095,0.0262834385367591
6,11,11,35.35503708395446,31.09460755974855
5,17,11,52.825198695881824,2.821174587003945
7,17,11,31.58538729735022,11.442012331635953
7,23,11,30.194906408953308,4.408879072785756
11,6,11,43.49175341943291,2.81394735213248
3,12,11,47.5756088367399,4.185278380596345
30,2,11,45.52062821849891,6.06200570508497
3,26,11,27.937156699232904,1.6368842767074363
21,16,12,19.079771484920297,5.708545093576872
26,12,12,15.205969716734986,8.768601410923557
9,24,12,7.738657760039433,0.0041948890005519
22,20,12,30.06975488408049,22.37907089400988
25,11,12,23.930378663100544,8.368924700559306
19,7,12,40.93331181426842,1.7094902336539588
24,25,12,18.852021682210573,18.363321696394834
24,4,12,54.64690851166117,49.68989766177002
12,3,12,35.60365130845425,31.17923063334693
15,20,12,28.386619090065636,25.706454496043644
7,19,12,27.04284619404416,21.94868797028493
7,5,12,25.511229671178736,9.241609157577509
4,24,12,50.38392209868884,1.913647505664216
4,11,12,56.85978005354578,0.5785173203308563
4,20,12,64.95802745921496,0.0003918133829886
20,6,12,32.01627377990842,2.729224718083634
26,2,12,20.74562921208882,0.6727157745318371
17,2,12,35.06917934810585,27.559474973734
28,20,12,15.225411289959776,13.112978794524748
25,5,12,51.23294710363752,0.2412515145450629
3,28,12,40.76352712291115,19.263081998186976
26,29,13,5.884292088952345,0.0948193720806395
11,28,13,9.716658853805258,7.131208635203544
24,28,13,35.99151584435074,0.6166690831968702
26,27,13,11.45322065813739,3.895280743634436
27,25,13,4.557465520818536,0.2695149127468897
20,9,13,20.043748411972075,1.401610912845474
19,5,13,51.8672277347113,39.05140219648563
28,16,13,11.042556738333117,3.4413291179224514
16,5,13,54.03926184460924,0.3382308865375283
28,7,13,34.93788009023956,8.854040794476049
21,7,13,7.644397190389476,7.643430391195791
2,24,13,33.20216373098159,31.981488245979456
20,8,13,47.4702775458298,0.0026863756743169
7,30,13,46.33270458960209,0.2497386444909944
26,4,13,21.699405774801523,3.443040110896013
5,12,13,41.10943639430994,36.50107799968694
25,3,13,34.546844515312145,26.01069651702328
16,6,13,28.843928679624675,0.3161196732147798
21,26,13,16.434749626471003,4.917171540471795
7,28,13,27.97995360017516,22.709269083094803
14,3,13,40.90324835020454,39.89641067053572
7,7,13,3.801393107869949,0.151830159715689
3,15,13,34.57310553161281,12.12402702942711
8,7,13,40.03600884585505,0.4027188638402969
11,17,14,18.320610897138632,13.44578425542999
16,12,14,13.472931069892455,10.798158995464057
27,24,14,14.403440725073008,0.8517765087942651
26,17,14,6.4188869113647895,6.201165725869419
30,11,14,22.99709449202281,0.0382477154385813
17,26,14,18.33067505673011,14.405349365692798
21,11,14,7.877355843272911,7.877355843272911
20,23,14,41.97785080974173,0.0023755554655547
16,28,14,6.161751038815246,5.214567067876885
20,13,14,16.813020608857023,0.0068519544708456
16,25,14,8.962648640195876,7.183299946778939
29,16,14,15.409410465151195,13.551529739148664
20,28,14,29.07471580425099,5.031504802994712e-06
12,7,14,21.0137147157632,18.402366990673197
7,8,14,27.207862522160987,23.278075104751085
8,11,14,9.565021939234752,1.8690835961587504
7,21,14,23.147569686143477,0.381824557144702
3,19,14,44.21242379183117,39.54898730607043
21,2,14,21.72382777538055,1.7788694811275665
2,27,14,42.6466944894736,18.42203647628156
7,14,14,25.75862565528525,14.285430133684928
1,27,14,39.95427465706239,0.5765019324572532
3,22,14,45.55100733118028,36.20103156620959
20,10,15,8.307463255982775,0.5809208396715568
11,12,15,23.8703146869466,0.0006735843471406
24,12,15,14.350124258194096,0.3276290554289058
11,29,15,25.60981514429163,0.1081203968849549
9,11,15,9.582655256780289,0.617840879251908
23,5,15,49.84263863229571,17.383960613487094
24,17,15,36.02528385272888,0.011161014741621
8,3,15,34.27640372568237,18.427554154334704
22,7,15,25.75862565528525,25.75862565528525
5,14,15,47.00155994797209,29.40095086158939
1,26,15,29.676564134726345,2.575751147894632
5,9,15,51.88396315981209,7.763731422479586
20,15,15,26.187074580986085,1.83119887327488
24,23,16,34.305809059064906,0.0106283032271641
11,9,16,10.425701711035638,0.5430311621621233
28,2,16,51.02603717590658,26.339526817890462
8,16,16,12.60592350851185,12.44645358476867
15,11,16,36.62010995889136,0.0235480275743198
21,5,16,43.90214684788467,42.324271790802776
29,20,16,13.974152782987996,0.0475724992236599
12,2,16,36.32645825875545,6.882353913558087
24,8,16,7.450650800743629,7.257507964287137
8,26,16,23.287624912200695,2.013037735740142
28,5,16,10.88959872023662,3.1781820232117326
27,2,16,48.544008995478926,2.3223508577428107
1,11,16,33.58040491668849,1.0265499663537183
16,15,16,17.924071056442337,14.365617111036304
3,21,16,40.41694913492692,10.7289790983492
27,1,16,43.83414971341127,43.39427392029369
2,25,16,50.05645340264368,19.565091153646048
2,30,16,34.29163400906799,33.92970993658755
30,3,16,29.713924734252743,16.99223005672233
8,20,16,20.328909052632035,10.929153345957214
7,15,16,21.877193428430708,17.756107799479558
27,26,17,15.27403944855467,14.06343238164072
20,19,17,21.667683973401527,1.5151688042076423
24,13,17,7.6852666053765395,0.3520700111018071
20,22,17,32.451975859115834,0.0002831541405148
19,20,17,40.66226720500304,1.6981706484094
22,11,17,11.95700341967558,9.470748329832851
9,20,17,12.827702799092553,12.77865765455048
30,30,17,4.606279156990006,2.140031050823575
22,2,17,39.21961031890704,39.21961031890704
28,3,17,41.49886369489466,12.11164396110662
